taskWeight,taskStartValue,taskDoneValue,taskState,userId,okrId
3,44,350,INPROGRESS,9,3
2,226,295,REACHED,11,10
2,159,404,REACHED,1,8
5,125,258,INPROGRESS,16,4
5,18,301,INPROGRESS,9,1
2,184,308,REACHED,18,1
3,210,257,INPROGRESS,16,3
1,52,347,INPROGRESS,17,3
2,174,322,UNREACHED,1,5
3,34,364,REACHED,19,6
1,126,451,UNREACHED,13,7
4,192,484,INPROGRESS,13,4
1,106,165,INPROGRESS,13,5
1,97,150,REACHED,3,3
1,194,465,INPROGRESS,12,3
1,93,308,REACHED,16,10
1,160,246,UNREACHED,10,6
1,6,262,INPROGRESS,14,5
2,15,86,UNREACHED,11,5
4,78,348,UNREACHED,5,1
4,29,286,INPROGRESS,15,6
3,201,380,REACHED,12,7
4,28,230,REACHED,15,7
1,163,183,REACHED,18,6
4,239,349,INPROGRESS,2,5
5,185,497,UNREACHED,13,8
3,5,60,INPROGRESS,6,10
1,249,478,INPROGRESS,5,3
4,213,483,REACHED,18,5
2,159,174,INPROGRESS,10,6
3,57,254,UNREACHED,11,8
1,159,280,INPROGRESS,14,3
1,212,248,UNREACHED,11,9
2,125,227,REACHED,16,1
5,95,294,UNREACHED,13,1
4,92,120,REACHED,20,4
2,129,174,INPROGRESS,18,10
4,180,443,INPROGRESS,9,1
1,84,233,INPROGRESS,4,7
4,73,478,UNREACHED,9,7
1,15,266,INPROGRESS,2,3
2,167,361,INPROGRESS,19,8
5,167,326,REACHED,12,6
2,137,364,REACHED,16,3
5,213,350,INPROGRESS,10,10
5,238,393,UNREACHED,13,10
1,95,462,UNREACHED,11,2
4,143,259,UNREACHED,13,5
5,16,370,INPROGRESS,17,1
1,227,362,UNREACHED,7,10
4,31,489,UNREACHED,11,10
2,126,176,UNREACHED,15,6
2,97,177,INPROGRESS,3,6
1,65,170,INPROGRESS,7,6
4,81,217,UNREACHED,12,2
3,70,437,INPROGRESS,2,8
5,10,261,UNREACHED,1,9
2,146,254,INPROGRESS,12,5
1,109,354,REACHED,5,6
1,165,169,REACHED,20,8
1,58,296,INPROGRESS,8,10
4,244,269,REACHED,5,6
5,193,213,REACHED,20,2
4,139,283,UNREACHED,1,4
1,77,290,INPROGRESS,10,3
5,98,398,REACHED,13,5
4,207,292,UNREACHED,2,7
5,202,385,UNREACHED,13,7
4,11,95,REACHED,7,10
1,75,243,UNREACHED,19,10
1,62,73,INPROGRESS,13,9
3,66,334,UNREACHED,8,7
4,157,404,INPROGRESS,4,9
2,50,302,INPROGRESS,8,7
1,61,105,REACHED,5,5
3,118,444,REACHED,5,2
3,126,355,UNREACHED,18,8
3,26,391,REACHED,7,10
1,40,217,UNREACHED,14,10
2,87,216,UNREACHED,1,3
5,207,283,REACHED,12,9
3,204,464,REACHED,18,1
2,17,383,INPROGRESS,10,6
2,246,481,REACHED,13,2
3,84,408,REACHED,10,7
4,213,323,REACHED,20,1
4,37,397,UNREACHED,11,4
5,57,286,UNREACHED,11,1
5,80,453,REACHED,9,1
1,116,117,UNREACHED,10,5
1,245,324,UNREACHED,19,10
3,247,435,REACHED,7,1
3,99,184,REACHED,6,3
1,122,296,UNREACHED,8,3
2,213,422,UNREACHED,5,1
2,182,293,UNREACHED,11,10
4,220,480,REACHED,12,9
4,169,499,UNREACHED,8,9
4,203,445,UNREACHED,7,10
5,51,275,INPROGRESS,5,8
5,156,184,REACHED,1,3
1,19,438,UNREACHED,4,6
5,29,404,REACHED,17,6
4,56,148,REACHED,4,3
3,228,333,UNREACHED,20,7
1,172,351,UNREACHED,5,3
3,216,246,INPROGRESS,16,9
2,96,301,REACHED,17,10
5,141,423,INPROGRESS,2,5
5,64,71,INPROGRESS,20,8
4,210,326,INPROGRESS,18,8
4,172,424,INPROGRESS,5,8
3,220,284,REACHED,16,4
5,161,466,INPROGRESS,5,6
4,138,203,REACHED,6,5
2,18,500,INPROGRESS,7,10
5,158,398,UNREACHED,19,9
3,221,290,REACHED,19,9
3,99,225,REACHED,15,4
3,238,276,INPROGRESS,5,8
5,78,347,INPROGRESS,5,3
1,66,479,REACHED,5,7
3,161,235,REACHED,9,3
3,102,114,REACHED,7,6
4,13,425,INPROGRESS,12,6
2,84,91,REACHED,20,9
5,145,240,UNREACHED,18,2
5,208,348,UNREACHED,20,5
5,104,416,UNREACHED,2,5
5,157,353,UNREACHED,10,2
1,59,321,REACHED,7,4
2,196,468,INPROGRESS,11,3
5,111,126,UNREACHED,16,6
4,191,292,UNREACHED,19,7
1,146,361,UNREACHED,6,5
4,239,249,INPROGRESS,17,2
5,18,122,INPROGRESS,19,1
2,117,393,INPROGRESS,1,5
2,148,394,REACHED,8,3
2,66,225,REACHED,18,6
3,103,235,REACHED,8,5
1,152,265,REACHED,8,5
2,146,365,INPROGRESS,19,8
4,233,249,INPROGRESS,8,8
4,109,466,UNREACHED,9,9
3,12,445,REACHED,4,2
4,198,497,INPROGRESS,6,5
2,156,209,UNREACHED,1,7
5,187,254,REACHED,7,2
3,154,477,UNREACHED,4,6
4,43,174,REACHED,1,9
5,218,285,INPROGRESS,3,3
4,208,421,INPROGRESS,5,10
2,189,383,INPROGRESS,18,4
4,224,392,UNREACHED,1,8
3,12,366,INPROGRESS,2,7
2,249,379,INPROGRESS,12,1
4,204,323,INPROGRESS,1,10
1,95,201,INPROGRESS,4,7
3,16,178,UNREACHED,13,7
1,63,487,INPROGRESS,19,1
1,233,301,INPROGRESS,16,9
1,29,340,UNREACHED,12,2
1,137,204,INPROGRESS,14,6
5,23,105,INPROGRESS,9,5
1,77,210,UNREACHED,11,5
2,77,236,UNREACHED,8,10
3,112,406,REACHED,19,10
2,40,409,INPROGRESS,16,9
2,223,396,UNREACHED,2,2
4,219,399,UNREACHED,5,6
1,9,200,INPROGRESS,5,10
5,112,125,INPROGRESS,2,6
4,76,119,INPROGRESS,7,10
2,218,351,INPROGRESS,20,7
2,26,48,UNREACHED,4,2
5,3,35,UNREACHED,11,9
5,109,477,REACHED,6,1
5,12,124,REACHED,19,7
1,127,350,UNREACHED,9,10
5,3,200,REACHED,1,8
3,172,487,INPROGRESS,17,10
5,171,353,UNREACHED,11,1
1,207,404,UNREACHED,19,6
3,83,424,REACHED,6,1
4,136,139,UNREACHED,2,3
3,22,373,REACHED,14,1
1,164,475,INPROGRESS,19,1
2,40,491,UNREACHED,17,3
3,49,286,UNREACHED,6,4
4,172,271,INPROGRESS,8,5
5,37,194,REACHED,1,3
3,196,491,INPROGRESS,18,3
4,215,322,INPROGRESS,3,7
1,161,297,REACHED,5,5
3,240,490,UNREACHED,18,8
1,198,268,INPROGRESS,13,4
1,195,378,UNREACHED,14,4
5,90,223,UNREACHED,8,3
5,139,366,INPROGRESS,5,8
4,205,497,REACHED,17,10
4,250,450,UNREACHED,17,1
3,153,250,INPROGRESS,6,3
1,116,459,UNREACHED,11,4
4,54,331,REACHED,4,6
2,93,140,UNREACHED,2,6
1,219,262,UNREACHED,2,9
4,86,219,INPROGRESS,8,3
1,249,500,UNREACHED,8,9
5,119,371,REACHED,14,3
4,28,398,REACHED,2,7
1,85,216,INPROGRESS,16,5
5,171,243,INPROGRESS,5,3
4,137,353,UNREACHED,11,1
2,158,324,INPROGRESS,1,9
2,246,380,INPROGRESS,19,7
3,42,133,REACHED,10,10
3,130,434,UNREACHED,14,2
3,220,241,INPROGRESS,9,1
1,29,215,INPROGRESS,2,7
3,196,269,INPROGRESS,13,3
5,161,296,REACHED,20,3
4,67,306,REACHED,5,2
5,85,403,REACHED,16,10
1,242,310,UNREACHED,13,10
4,32,378,INPROGRESS,11,9
4,99,415,INPROGRESS,6,9
4,104,283,UNREACHED,1,8
1,6,293,UNREACHED,16,1
5,147,358,UNREACHED,4,5
5,123,357,REACHED,15,4
4,183,224,REACHED,8,9
1,70,375,REACHED,5,9
3,192,344,REACHED,14,6
4,70,379,INPROGRESS,5,8
2,167,225,REACHED,18,10
4,244,455,INPROGRESS,13,6
4,206,401,UNREACHED,14,8
3,73,100,REACHED,15,5
1,28,96,INPROGRESS,18,4
4,197,334,REACHED,12,8
3,19,35,UNREACHED,16,3
2,44,213,INPROGRESS,19,4
3,46,177,REACHED,9,3
4,192,434,REACHED,8,10
1,143,197,UNREACHED,16,5
5,19,212,UNREACHED,5,8
1,203,435,UNREACHED,10,7
4,44,284,INPROGRESS,19,8
5,195,484,REACHED,20,8
4,148,266,UNREACHED,19,2
2,44,151,INPROGRESS,1,9
3,247,353,INPROGRESS,15,10
4,216,364,INPROGRESS,10,4
3,86,228,INPROGRESS,14,9
1,198,353,UNREACHED,16,4
4,141,157,INPROGRESS,18,3
2,126,177,REACHED,9,5
2,93,304,REACHED,6,6
3,247,403,REACHED,17,4
2,47,76,INPROGRESS,15,8
5,162,179,REACHED,7,8
3,223,226,UNREACHED,4,9
4,38,150,UNREACHED,17,10
2,64,293,REACHED,10,5
2,239,446,REACHED,1,8
4,79,365,INPROGRESS,18,9
2,96,188,REACHED,1,7
4,11,181,UNREACHED,13,10
4,138,406,INPROGRESS,12,3
5,242,384,UNREACHED,11,3
3,49,435,REACHED,4,8
1,219,365,INPROGRESS,16,2
5,106,291,INPROGRESS,4,9
5,67,121,UNREACHED,19,1
5,34,372,UNREACHED,12,1
5,115,231,INPROGRESS,20,7
5,127,249,REACHED,7,9
2,237,412,INPROGRESS,5,2
2,175,482,UNREACHED,20,1
3,91,392,REACHED,13,5
3,31,154,INPROGRESS,18,1
5,164,467,INPROGRESS,8,3
3,92,500,REACHED,11,3
3,145,168,UNREACHED,13,1
3,51,132,UNREACHED,2,4
3,60,150,UNREACHED,10,10
3,21,244,REACHED,1,1
1,22,416,REACHED,3,6
2,246,469,INPROGRESS,15,9
1,0,499,INPROGRESS,2,10
5,241,497,INPROGRESS,17,8
3,32,409,INPROGRESS,1,4
5,127,180,UNREACHED,1,9
4,157,302,INPROGRESS,20,2
1,187,441,INPROGRESS,13,9
1,120,231,REACHED,20,10
3,67,162,UNREACHED,15,1
4,132,367,REACHED,9,3
5,188,290,REACHED,14,5
2,129,395,REACHED,8,6
4,213,445,REACHED,9,4
3,131,364,INPROGRESS,9,4
5,34,271,INPROGRESS,19,4
5,229,395,INPROGRESS,1,10
4,43,243,INPROGRESS,6,2
1,51,234,INPROGRESS,7,4
1,120,361,REACHED,9,1
1,129,268,UNREACHED,14,6
1,226,325,REACHED,8,8
5,25,122,INPROGRESS,15,5
5,137,452,UNREACHED,17,6
2,134,210,INPROGRESS,8,6
4,237,423,REACHED,16,10
2,154,214,INPROGRESS,17,8
2,239,421,REACHED,17,1
1,35,65,REACHED,12,5
4,119,136,INPROGRESS,16,2
4,113,222,INPROGRESS,7,9
4,84,141,UNREACHED,4,1
3,247,302,INPROGRESS,16,7
4,196,462,INPROGRESS,15,6
2,89,323,INPROGRESS,6,5
5,111,322,UNREACHED,16,1
5,128,277,REACHED,18,4
2,161,188,REACHED,5,2
5,180,182,INPROGRESS,9,9
1,116,199,REACHED,15,7
1,35,487,REACHED,10,5
2,83,136,REACHED,1,7
3,39,373,UNREACHED,10,10
3,116,193,UNREACHED,17,3
2,74,251,UNREACHED,1,3
4,136,373,UNREACHED,19,4
2,210,340,INPROGRESS,18,3
1,247,285,UNREACHED,19,6
5,74,108,INPROGRESS,7,10
5,231,337,UNREACHED,8,6
5,64,386,REACHED,8,10
4,231,433,REACHED,7,9
4,206,368,REACHED,17,3
1,27,241,INPROGRESS,13,8
2,212,278,REACHED,12,4
5,234,322,UNREACHED,5,6
5,81,495,UNREACHED,9,2
2,102,117,INPROGRESS,3,5
2,118,158,UNREACHED,5,3
3,90,131,REACHED,11,3
5,126,461,UNREACHED,8,2
5,182,236,UNREACHED,20,6
2,148,205,REACHED,10,5
2,94,457,REACHED,3,3
4,49,347,REACHED,11,8
5,235,459,UNREACHED,2,8
1,163,288,UNREACHED,10,9
4,17,289,UNREACHED,16,7
5,84,468,UNREACHED,17,10
5,220,481,REACHED,2,1
1,204,216,REACHED,20,6
5,66,239,INPROGRESS,9,2
3,236,376,UNREACHED,7,3
1,175,248,UNREACHED,14,8
5,211,481,UNREACHED,12,7
1,197,298,REACHED,9,9
2,208,493,INPROGRESS,12,6
5,155,218,INPROGRESS,3,6
4,193,425,REACHED,14,3
4,60,78,INPROGRESS,9,6
1,57,487,REACHED,12,7
4,138,183,REACHED,19,6
1,31,191,REACHED,17,3
4,33,379,INPROGRESS,17,5
5,31,446,UNREACHED,1,4
5,211,493,REACHED,11,4
4,170,448,UNREACHED,7,2
4,174,388,INPROGRESS,9,2
3,188,264,INPROGRESS,3,4
2,143,348,INPROGRESS,1,4
1,60,390,INPROGRESS,18,7
1,203,323,INPROGRESS,5,1
4,145,280,INPROGRESS,3,3
1,106,348,INPROGRESS,1,6
4,200,457,UNREACHED,14,5
3,160,283,UNREACHED,8,2
5,220,351,INPROGRESS,18,2
1,215,464,UNREACHED,18,5
2,40,358,REACHED,7,10
4,136,169,UNREACHED,17,8
5,51,232,INPROGRESS,19,5
4,65,273,UNREACHED,15,1
4,93,434,REACHED,18,7
5,207,450,UNREACHED,14,7
3,118,419,UNREACHED,11,4
4,110,271,REACHED,7,4
4,198,371,REACHED,14,7
4,78,390,REACHED,9,9
3,16,341,UNREACHED,6,10
3,121,236,INPROGRESS,12,4
5,212,265,REACHED,7,8
3,189,412,REACHED,10,9
1,203,454,REACHED,7,4
4,66,322,INPROGRESS,19,4
4,211,471,INPROGRESS,18,1
3,118,148,INPROGRESS,3,8
1,152,496,INPROGRESS,17,1
3,169,434,REACHED,9,7
5,155,348,UNREACHED,20,9
4,151,160,UNREACHED,12,8
3,128,187,REACHED,19,1
3,74,154,UNREACHED,15,6
1,18,429,REACHED,12,4
5,138,306,UNREACHED,5,10
4,107,179,REACHED,10,5
5,32,160,INPROGRESS,15,2
2,157,416,REACHED,1,3
2,17,109,REACHED,4,2
4,238,494,REACHED,13,5
3,131,366,INPROGRESS,6,8
2,71,437,INPROGRESS,15,10
3,211,494,INPROGRESS,11,9
3,225,400,UNREACHED,2,9
2,114,137,UNREACHED,12,2
2,11,322,UNREACHED,16,10
3,244,364,REACHED,4,9
1,31,41,REACHED,6,9
5,209,290,UNREACHED,2,10
4,134,220,REACHED,18,3
2,30,110,INPROGRESS,8,6
4,184,465,INPROGRESS,14,4
4,104,406,INPROGRESS,5,9
4,67,317,INPROGRESS,18,6
5,9,355,REACHED,8,5
2,62,64,UNREACHED,17,1
5,35,74,REACHED,8,10
5,201,382,REACHED,12,6
5,236,400,REACHED,7,8
5,78,321,REACHED,18,1
1,163,178,REACHED,9,2
4,162,191,UNREACHED,17,7
3,2,264,REACHED,15,1
2,226,487,INPROGRESS,19,1
1,64,205,INPROGRESS,11,5
1,127,495,UNREACHED,12,1
5,123,428,REACHED,1,10
5,2,201,REACHED,17,4
2,183,260,REACHED,1,8
4,103,377,INPROGRESS,18,1
3,115,220,REACHED,10,7
3,40,196,UNREACHED,11,9
3,20,326,INPROGRESS,4,10
3,40,353,UNREACHED,2,9
4,63,182,REACHED,5,3
4,182,319,INPROGRESS,17,3
1,76,221,INPROGRESS,4,3
5,157,242,REACHED,9,10
5,148,273,REACHED,17,5
5,232,303,UNREACHED,3,2
2,51,98,INPROGRESS,20,4
5,180,455,UNREACHED,9,2
3,185,421,UNREACHED,15,5
4,74,149,INPROGRESS,16,2
5,31,336,INPROGRESS,5,4
2,61,78,UNREACHED,18,5
5,53,348,INPROGRESS,13,1
5,180,250,INPROGRESS,18,7
3,28,309,REACHED,9,8
4,125,235,INPROGRESS,13,6
3,190,296,REACHED,18,2
5,164,274,UNREACHED,16,6
5,210,358,INPROGRESS,5,5
5,138,195,UNREACHED,4,8
4,92,427,REACHED,16,6
3,197,324,INPROGRESS,20,10
3,215,273,INPROGRESS,17,5
5,243,283,UNREACHED,5,8
4,200,438,REACHED,14,3
3,148,416,REACHED,19,7
3,196,332,INPROGRESS,1,8
4,167,417,REACHED,12,8
1,121,270,UNREACHED,13,6
5,34,358,UNREACHED,19,3
2,8,311,INPROGRESS,15,8
1,138,406,INPROGRESS,19,2
3,166,323,INPROGRESS,7,5
1,205,498,INPROGRESS,8,3
1,218,231,INPROGRESS,19,4
3,62,496,REACHED,3,5
1,211,459,REACHED,12,7
4,77,189,REACHED,16,2
2,140,418,UNREACHED,15,6
3,247,269,REACHED,14,2
5,179,453,UNREACHED,8,10
5,11,339,INPROGRESS,14,10
1,229,415,REACHED,9,3
2,244,247,UNREACHED,2,1
1,229,422,INPROGRESS,14,2
3,137,349,UNREACHED,3,10
1,187,237,REACHED,5,6
1,122,206,INPROGRESS,12,7
1,21,279,INPROGRESS,3,8
1,71,121,REACHED,10,3
3,160,165,INPROGRESS,9,3
3,104,209,REACHED,15,4
2,104,441,REACHED,7,9
5,122,423,REACHED,1,6
1,66,328,REACHED,6,4
2,97,157,UNREACHED,10,4
5,240,341,INPROGRESS,1,4
5,27,262,REACHED,2,2
4,157,242,UNREACHED,20,5
1,61,249,INPROGRESS,3,2
2,31,156,INPROGRESS,19,8
3,214,249,REACHED,3,6
4,128,467,INPROGRESS,6,7
2,24,289,REACHED,1,5
3,185,433,REACHED,18,3
5,194,209,INPROGRESS,4,2
1,70,425,UNREACHED,15,1
3,9,350,REACHED,19,6
3,172,441,REACHED,16,9
5,144,285,REACHED,6,9
1,238,459,REACHED,17,7
4,137,167,REACHED,13,1
1,152,481,REACHED,16,5
5,84,440,UNREACHED,18,3
4,142,424,REACHED,8,5
3,39,382,INPROGRESS,19,4
5,199,341,UNREACHED,12,1
5,86,377,INPROGRESS,2,5
2,68,244,UNREACHED,2,4
2,24,297,UNREACHED,12,7
2,193,434,REACHED,14,6
5,7,309,UNREACHED,14,5
1,45,182,REACHED,10,2
2,155,477,REACHED,5,5
2,52,458,INPROGRESS,12,4
3,87,461,INPROGRESS,14,6
1,82,415,REACHED,6,1
5,117,353,UNREACHED,15,5
5,100,462,UNREACHED,12,5
1,126,249,UNREACHED,17,10
2,130,459,UNREACHED,17,10
3,88,213,INPROGRESS,6,9
2,209,373,INPROGRESS,3,7
5,147,445,UNREACHED,14,2
1,160,302,REACHED,10,8
5,108,235,INPROGRESS,15,7
2,11,114,REACHED,16,8
4,118,186,REACHED,2,4
5,116,428,UNREACHED,17,8
3,177,370,INPROGRESS,7,3
4,66,225,INPROGRESS,12,10
5,226,282,UNREACHED,17,2
5,16,388,UNREACHED,17,6
1,15,374,INPROGRESS,2,9
3,202,413,UNREACHED,11,1
3,141,406,UNREACHED,11,8
2,73,331,INPROGRESS,11,4
5,107,404,INPROGRESS,18,7
1,78,343,INPROGRESS,2,7
1,169,427,REACHED,11,4
4,75,337,UNREACHED,14,3
2,175,499,REACHED,14,4
4,68,261,INPROGRESS,3,10
5,80,173,UNREACHED,15,5
3,215,387,REACHED,20,4
4,202,210,INPROGRESS,9,10
1,112,376,INPROGRESS,19,8
3,7,451,INPROGRESS,5,8
5,60,263,UNREACHED,20,6
3,135,343,REACHED,18,7
3,27,439,REACHED,11,5
2,38,132,REACHED,3,3
1,202,434,INPROGRESS,14,10
1,196,448,REACHED,1,7
1,212,424,UNREACHED,18,2
1,250,315,INPROGRESS,9,7
4,135,429,REACHED,16,2
1,205,382,UNREACHED,2,2
2,124,371,INPROGRESS,16,10
4,153,228,UNREACHED,19,4
4,87,179,UNREACHED,10,5
4,89,210,UNREACHED,18,2
1,9,346,UNREACHED,9,6
4,203,331,REACHED,11,4
3,39,202,REACHED,1,6
3,230,281,REACHED,9,9
3,93,413,INPROGRESS,15,4
2,27,167,UNREACHED,11,6
5,82,294,UNREACHED,1,8
4,228,264,REACHED,18,6
1,79,155,REACHED,7,9
5,221,241,UNREACHED,15,10
3,1,291,UNREACHED,3,10
3,1,109,REACHED,2,1
4,136,435,INPROGRESS,13,10
1,69,416,INPROGRESS,11,7
4,126,127,REACHED,15,2
1,48,235,UNREACHED,13,6
4,175,322,UNREACHED,15,7
5,151,358,UNREACHED,18,5
3,55,89,UNREACHED,18,5
5,3,63,REACHED,19,3
1,83,247,REACHED,16,10
1,165,301,REACHED,20,5
5,33,408,UNREACHED,8,1
1,156,232,UNREACHED,10,7
1,179,447,INPROGRESS,4,9
1,10,87,REACHED,10,5
5,197,433,REACHED,6,10
1,189,220,REACHED,4,10
2,250,360,INPROGRESS,16,3
3,188,293,REACHED,1,5
2,135,262,REACHED,20,10
3,238,250,REACHED,11,10
3,169,305,REACHED,11,1
3,66,132,INPROGRESS,4,10
2,110,153,INPROGRESS,17,5
5,60,170,UNREACHED,6,7
1,9,202,UNREACHED,12,7
3,125,219,REACHED,18,2
2,204,282,REACHED,13,4
4,177,496,REACHED,10,9
2,92,351,UNREACHED,13,10
4,8,99,REACHED,7,2
2,102,128,REACHED,1,9
4,236,261,INPROGRESS,15,8
5,142,242,INPROGRESS,19,8
5,86,97,INPROGRESS,12,7
2,111,387,UNREACHED,9,10
3,54,194,INPROGRESS,3,8
5,170,364,REACHED,3,8
5,94,357,INPROGRESS,7,2
4,185,232,INPROGRESS,11,7
4,2,490,UNREACHED,19,2
5,236,314,INPROGRESS,4,7
1,82,151,INPROGRESS,2,6
3,90,500,UNREACHED,1,9
3,89,187,REACHED,2,1
5,32,296,REACHED,3,3
3,38,296,UNREACHED,15,8
5,110,484,UNREACHED,10,4
1,86,391,INPROGRESS,19,1
4,94,297,UNREACHED,3,1
3,209,494,REACHED,1,10
4,232,467,UNREACHED,17,5
4,31,423,INPROGRESS,14,10
3,45,194,REACHED,11,9
3,14,400,UNREACHED,13,9
5,99,316,INPROGRESS,10,7
5,87,245,UNREACHED,2,1
2,234,480,UNREACHED,17,2
5,131,435,REACHED,11,7
2,52,183,INPROGRESS,2,2
2,125,287,REACHED,5,8
3,103,272,INPROGRESS,20,5
1,50,340,UNREACHED,18,5
3,194,358,UNREACHED,18,9
2,48,280,UNREACHED,19,9
3,64,253,UNREACHED,17,3
3,151,407,UNREACHED,2,2
